id,SALES,IT ORGANIZATION,IT LABOUR,IT STOCK,FIREWALL,SIZE,AGE,LABOUR,CAPITAL,MATERIAL,NOT,ERP,CRM,BOTH
642,15.83878,0,0.4375,3.044523,0,1,1.098612,3.931826,14.97688,15.52828,0,0,0,1
643,20.08012,1,0.988121,7.148346,1,2,2.397895,6.749931,19.1636,17.01193,0,0,0,1
644,16.84796,0,1,3.258096,0,1,1.94591,4.276666,16.0929,16.49745,1,0,0,0
646,18.30046,0,0.8163266,4.70048,1,1,2.639057,4.812184,16.84395,18.10886,0,0,0,1
649,16.59177,0,0.7826087,4.60517,0,1,1.609438,4.60517,14.58191,16.20256,0,1,0,0
652,16.21403,0,0.5892857,3.496508,0,1,2.302585,3.951244,18.23475,15.53634,1,0,0,0
653,16.3335,0,0.8666667,3.7612,1,1,2.484907,3.295837,17.94808,15.10028,1,0,0,0
655,16.73945,0,1,4.867535,1,1,3.555348,4.317488,16.51106,16.03799,1,0,0,0
657,17.00517,1,0.9179811,5.308268,0,2,1.098612,5.501258,17.15102,15.02039,0,0,1,0
659,16.1113,1,0.0852941,3.401197,1,2,2.70805,3.332205,18.40978,15.18987,0,0,0,1
661,16.36487,0,0.3508772,3.713572,0,1,1.098612,4.248495,16.71424,16.03953,1,0,0,0
662,17.13416,1,1,5.192957,1,1,3.713572,4.820282,17.42028,16.65326,0,1,0,0
664,17.44414,0,0.36375,5.308268,0,2,2.197225,5.283204,16.93777,17.28669,0,0,0,1
666,14.82054,0,0.0588235,3.401197,1,0,1.609438,2.772589,14.23066,14.61725,1,0,0,0
668,15.86551,0,1,3.526361,1,0,1.791759,2.995732,13.17142,15.58225,1,0,0,0
670,18.48636,0,1,5.192957,1,0,1.609438,1.791759,10.65287,18.32756,1,0,0,0
671,16.86512,1,0.06,2.833213,1,2,3.433987,5.389072,18.27312,15.50737,0,1,0,0
672,16.28787,0,1,4.70048,1,1,3.295837,4.343805,16.11807,16.05643,0,1,0,0
674,19.38741,1,0.0008496,2.890372,0,2,1.94591,7.737616,15.52509,19.37879,1,0,0,0
675,15.37536,0,1,3.091043,0,0,1.609438,2.302585,12.70301,15.2279,1,0,0,0
677,15.56074,0,0.3846154,3.091043,0,0,2.833213,2.772589,14.16232,15.43166,0,1,0,0
678,13.51274,0,0.55,4.143135,0,1,3.044523,2.995732,12.02341,13.21859,1,0,0,0
684,17.02936,0,0.3603604,2.197225,0,2,2.944439,5.53339,17.90159,16.63094,0,0,1,0
685,16.56564,0,0.4545455,2.397895,0,0,3.583519,2.995732,17.34227,16.02133,1,0,0,0
687,17.09584,0,0.375,3.988984,0,0,2.639057,3.871201,15.6274,16.96061,0,1,0,0
689,16.89751,0,0.3773585,2.995732,1,1,1.94591,3.828641,16.21891,16.75804,1,0,0,0
690,17.98764,0,0.9,2.197225,0,0,1.098612,2.772589,12.03944,17.87989,1,0,0,0
694,15.95851,1,1,2.995732,0,1,1.386294,4.248495,17.80105,15.10252,0,1,0,0
699,15.89622,0,0.3947369,3.583519,0,1,1.94591,4.29046,14.51006,15.74379,1,0,0,0
